Wilayah,vtuber: (01/01/22 - 01/10/24)
Kalimantan Selatan,100
Daerah Istimewa Yogyakarta,94
Kalimantan Timur,92
Kepulauan Bangka Belitung,90
Banten,83
Kalimantan Tengah,82
Jawa Barat,81
Daerah Khusus Ibukota Jakarta,80
Kepulauan Riau,77
Kalimantan Barat,75
Kalimantan Utara,73
Bengkulu,69
Jawa Timur,60
Sumatera Selatan,60
Sulawesi Utara,59
Sumatera Barat,59
Jawa Tengah,59
Bali,54
Riau,53
Lampung,52
Sulawesi Tenggara,51
Sulawesi Barat,49
Jambi,47
Sulawesi Selatan,45
Gorontalo,43
Sulawesi Tengah,42
Aceh,41
Sumatera Utara,36
Papua,32
Maluku Utara,31
Nusa Tenggara Barat,30
Papua Barat,29
Maluku,26
Nusa Tenggara Timur,15
