Minggu,vtuber: (Indonesia)
9/22/2019,0
9/29/2019,0
10/6/2019,0
10/13/2019,0
10/20/2019,0
10/27/2019,0
11/3/2019,0
11/10/2019,0
11/17/2019,0
11/24/2019,0
12/1/2019,0
12/8/2019,0
12/15/2019,0
12/22/2019,6
12/29/2019,0
1/5/2020,0
1/12/2020,0
1/19/2020,0
1/26/2020,7
2/2/2020,0
2/9/2020,7
2/16/2020,0
2/23/2020,8
3/1/2020,0
3/8/2020,0
3/15/2020,8
3/22/2020,0
3/29/2020,0
4/5/2020,7
4/12/2020,0
4/19/2020,0
4/26/2020,9
5/3/2020,7
5/10/2020,7
5/17/2020,7
5/24/2020,8
5/31/2020,8
6/7/2020,6
6/14/2020,8
6/21/2020,7
6/28/2020,6
7/5/2020,8
7/12/2020,10
7/19/2020,5
7/26/2020,10
8/2/2020,9
8/9/2020,16
8/16/2020,14
8/23/2020,13
8/30/2020,10
9/6/2020,14
9/13/2020,12
9/20/2020,13
9/27/2020,14
10/4/2020,10
10/11/2020,12
10/18/2020,11
10/25/2020,9
11/1/2020,14
11/8/2020,14
11/15/2020,12
11/22/2020,12
11/29/2020,14
12/6/2020,21
12/13/2020,17
12/20/2020,16
12/27/2020,16
1/3/2021,14
1/10/2021,19
1/17/2021,18
1/24/2021,18
1/31/2021,15
2/7/2021,18
2/14/2021,15
2/21/2021,19
2/28/2021,18
3/7/2021,16
3/14/2021,19
3/21/2021,15
3/28/2021,13
4/4/2021,12
4/11/2021,16
4/18/2021,15
4/25/2021,15
5/2/2021,14
5/9/2021,15
5/16/2021,16
5/23/2021,13
5/30/2021,17
6/6/2021,15
6/13/2021,13
6/20/2021,12
6/27/2021,12
7/4/2021,15
7/11/2021,15
7/18/2021,18
7/25/2021,14
8/1/2021,14
8/8/2021,13
8/15/2021,12
8/22/2021,16
8/29/2021,16
9/5/2021,14
9/12/2021,15
9/19/2021,14
9/26/2021,17
10/3/2021,15
10/10/2021,12
10/17/2021,14
10/24/2021,13
10/31/2021,18
11/7/2021,24
11/14/2021,23
11/21/2021,27
11/28/2021,44
12/5/2021,29
12/12/2021,28
12/19/2021,23
12/26/2021,26
1/2/2022,41
1/9/2022,47
1/16/2022,57
1/23/2022,47
1/30/2022,43
2/6/2022,44
2/13/2022,44
2/20/2022,44
2/27/2022,48
3/6/2022,41
3/13/2022,36
3/20/2022,38
3/27/2022,35
4/3/2022,37
4/10/2022,38
4/17/2022,33
4/24/2022,43
5/1/2022,38
5/8/2022,58
5/15/2022,57
5/22/2022,59
5/29/2022,58
6/5/2022,58
6/12/2022,59
6/19/2022,57
6/26/2022,64
7/3/2022,70
7/10/2022,77
7/17/2022,68
7/24/2022,68
7/31/2022,62
8/7/2022,66
8/14/2022,56
8/21/2022,70
8/28/2022,51
9/4/2022,48
9/11/2022,51
9/18/2022,47
9/25/2022,100
10/2/2022,58
10/9/2022,49
10/16/2022,42
10/23/2022,38
10/30/2022,35
11/6/2022,35
11/13/2022,33
11/20/2022,38
11/27/2022,39
12/4/2022,40
12/11/2022,48
12/18/2022,45
12/25/2022,45
1/1/2023,44
1/8/2023,51
1/15/2023,48
1/22/2023,50
1/29/2023,50
2/5/2023,51
2/12/2023,49
2/19/2023,49
2/26/2023,49
3/5/2023,55
3/12/2023,56
3/19/2023,60
3/26/2023,67
4/2/2023,66
4/9/2023,65
4/16/2023,66
4/23/2023,59
4/30/2023,57
5/7/2023,54
5/14/2023,52
5/21/2023,65
5/28/2023,53
6/4/2023,55
6/11/2023,53
6/18/2023,57
6/25/2023,61
7/2/2023,66
7/9/2023,81
7/16/2023,65
7/23/2023,57
7/30/2023,52
8/6/2023,47
8/13/2023,45
8/20/2023,48
8/27/2023,58
9/3/2023,53
9/10/2023,45
9/17/2023,45
9/24/2023,52
10/1/2023,54
10/8/2023,51
10/15/2023,52
10/22/2023,51
10/29/2023,55
11/5/2023,48
11/12/2023,48
11/19/2023,48
11/26/2023,43
12/3/2023,47
12/10/2023,52
12/17/2023,63
12/24/2023,60
12/31/2023,60
1/7/2024,52
1/14/2024,48
1/21/2024,44
1/28/2024,46
2/4/2024,46
2/11/2024,50
2/18/2024,48
2/25/2024,46
3/3/2024,49
3/10/2024,57
3/17/2024,58
3/24/2024,57
3/31/2024,71
4/7/2024,59
4/14/2024,70
4/21/2024,59
4/28/2024,62
5/5/2024,58
5/12/2024,55
5/19/2024,54
5/26/2024,59
6/2/2024,62
6/9/2024,61
6/16/2024,63
6/23/2024,73
6/30/2024,74
7/7/2024,73
7/14/2024,61
7/21/2024,62
7/28/2024,63
8/4/2024,52
8/11/2024,51
8/18/2024,49
8/25/2024,52
9/1/2024,49
9/8/2024,51
9/15/2024,51
9/22/2024,52
